,description
0,HINDUTVA
1,"A Software Engineer passionate about building Large-Scale, Highly Available & Observable systems with robust architecture. Currently transforming myself!!"
2,Yoga sloka meditation rajinikanth illayaraja a proud sanghi also a believer in dharma and karma
3,"🇮🇳... India muslim🇮🇳
proud to be muslim Alhamdulillah
fast azan ..9/October"
4,"परं वैभवं नेतुमेतत् स्वराष्ट्रम्
समर्था भवत्वाशिषा ते भृशम् ।

देश सर्वप्रथम ।
India First! Proud Hindu!
RTs are not endorsements."
5,"Builder of BIG temple, 1000 years old, Survived 6 earthquakes
Weighs 130,000 tons
pure architectural marvel, This temple tower is 216 feet. real wonder of world"
6,
7,Authentic data provider
8,"Geological Advisor @ Tatweer Petroleum, Bahrain"
9,"From observer microbiologist - tutor in SuIMS Shimoga - tutor in ESIC medical College - today District Microbiologist@ Haveri, Karnataka. 😌"
10,Your grandma probably know’s me 🕊️  Del | J&K 🙅🏼
11,Love
12,"IGNORE NEGATIVITY ✌️😎
Proud to be a #ThalapathyVijay fan
Crazy fan of #KingKohli😎
music lover🎧🎼 
KILL THEM WITH YOUR SUCCESS. BURY THEM WITH YOUR SMILE😎"
13,works in Pharma Industry.
14,iam student
15,Simple Man
16,Indian
17,DREAMER
18,I'm Hard BJP Worker. Always Curious To Make Strong World's Largest Political Party BJP.
19,I Love my India
20,"पांडवों जैसी विवशता आएगी...
तो हिस्से में कृष्ण भी आएंगे।"
21,"Nationalist, Strategic Affairs, Market Intelligence, Politics, Intelligence, Defense, Research"
22,
23,libbies n Chuslims interact at ur own https://t.co/J98rKMZXx8 any post is not Mine all r Copied/May B Copied/ May B mine .Bio mein itna hi Interested the to Dr. ban Jaat
24,"CEO Indinext Venture FZ-LLC 👩‍💻an ex actress🎥 Owner @dateabrand Fashion, beauty & lifestyle International Multivendor Online store"
25,😎😎 😎
26,"Faculty, NIT Raipur"
27,Information Department
28,"A common Citizen... BJP Supporter ..
Jai Hind ki Sena...
Ganga n  Himalayas  #MyHome.....
Namaste Sadavatsale Matrubhoome🇮🇳"
29,"INDIAN | FOODIE | Gadget geek | Music lover | Vocalist | Animal Lover | CRICKET IS ❤️
.
.
.
INSTAGRAM - https://t.co/WOUI1MUHgi"
30,
31,"'Top Rated Plus' Freelancer @upwork Digital marketing manager, Web designer and visual content creater. Spiritual enthusiast. Mahadev💗"
32,Lawyer
33,Proud Hindu nationalist
34,Project Engineer -Electrical Divisions_Power project
35,
36,"❤❤living the dream ❤❤
             
               instagram -https://t.co/5gG6TxLmB6"
37,
38,
39,Road Runner! Proud Bhakt of Maa Bharti!!! Vande Matram!!! Hindu Nationalist! India First! Don't Judge by tweets or Retweets!
40,Be real
41,I’m a man who drinks  tea🍵
42,
43,
44,Solanki #Rajasthani #Didgeridoo
45,political party in BJP🇮🇳🚩
46,#SSRians Follow Each Other and Make Powerful Our SSR Army.
47,ଅଜା ଙ୍କ ଖବର କୁ ଆପଣଙ୍କୁ ସ୍ୱାଗତ l
48,I can and I will
49,Want to see Maa Bharti Vishwaguru
50,
51,
52,
53,
54,"𝐖𝐚𝐢𝐭𝐢𝐧𝐠 𝐅𝐨𝐫 #𝐀𝐝𝐢𝐩𝐮𝐫𝐮𝐬𝐡 #𝐒𝐚𝐥𝐚𝐚𝐫 #𝐏𝐫𝐨𝐣𝐞𝐜𝐭𝐊 #𝐒𝐩𝐢𝐫𝐢𝐭

🌪️"
55,"Serious case of wanderlust, Modern Conservative, Hate Babas/Mullahs. Interests: Sports, Politics & Policy."
56,"RTO, Banking, Management, IT, Auditor, CyberSec, Future Lawyer, Stock Market learner, UP wala... wagairah wagairah"
57,In future INDIAN ARMY makes me special.. My life is dedicated too INDIAN ARMY..
58,"Defence, Aerospace & Strategic Affairs Journalist
Group Editorial Head (Defence, Security & Police), Businessworld"
59,"Lawyer,Social Activist,Nationalist, DM for further queries, RTs are not endorsements! Support Farmers Protest"
60,Not the regular Doctor 😷😈 Blocked by @RanaAyyub @Dhruv_Rathee @CJWerleman @AudreyTruschke & other such anti-national bigots/hypocrites 😪
61,Funny Political party Jokes
62,
63,India
64,
65,"●○°•Bright Vachirawit Chivaaree •°○●
♧◇Wang Yibo♤♡

Call me 'Hikari' - mtjj 🦁 bright🌞 from 🇮🇳"
66,
67,मानस की जात सबे एक पेहचानबो -ਮਾਨਸ ਕੀ ਜਾਤ ਸੱਭੇ ਏਕ ਪਹਿਚਾਨਬੋ
68,"தேசமே தெய்வம், ஜெய்ஹிந்த், பாரத தாய், மக்கள், பாரம்பரியம், பண்பாடு. இந்தியா என் உயிர். நாட்டு நலனே உயிர் மூச்சு. Editorial Board member https://t.co/HnmrRjvrho"
69,"A real man dies on a battlefield, and his body is wrapped in his country's flag.Who wants to die in bed,surrounded by his wife and children ? #ProudToBeAnIndian"
70,Member- Indian National Congress. SM. Opinions are all personal. RTs aren’t endorsements.
71,
72,"🇮🇳... India muslim🇮🇳
proud to be muslim Alhamdulillah
fast azan ..9/October"
73,"संवेदना से भरा अंतर्मन,"
74,
75,???
76,congressman
77,"Renewables, Hard core NarendraModi follower, Proud of RSS, Jai Hind 🇮🇳 Nehru became PM w/ 0-12 votes. blocked by Dr. @swamy39"
78,"🩺🩺🩺
🇮🇳🇮🇳🇮🇳"
79,"Chief Executive Officer, Leather Sector Skill Council."
80,NIT Nagpur. IIT Chennai. Proud Bharatiya. Proud Odia. Unapologetic Hindu. RTs and like are not endorsement.
81,"🇮🇳|Fashion|Food|Travel|Networking|FinTech|
#foodblogger|reviewer|critic|
Original #Zomato Level-13| #CR7 ⚽️
DM for any queries✉ My blog ↙️"
82,आ नो भद्रा: क्रतवो यन्तु विश्वत: |
83,
84,Life goes on with or without you
85,Here for memes & meaning
86,
87,"Official account of Public Relations Officer,  Ministry of Defence #Hyderabad"
88,
89,"A Nationalist!! Cricket Fanatic, Loves Hockey,Soccer. RTs do not necessarily mean endorsement."
90,"21

Meet me at the top,
The bottom is too crowded.😉"
91,Fights against monsters who hurt little children such as some members of the US judiciary. Also a 'rocket scientist!' PhD Aerospace Engineering (Georgia Tech.)
92,"Looking for facts, not truth."
93,"Headstrong, Village Dweller, Dreamer."
94,"Industrialist, Great Admirer of @Narendramodi..!!!🇮🇳"
95,
96,"Member of Parliament, Rajya Sabha Facebook : PrakashJavadekarOfficial"
97,Just here to share my opinion on things.
98,
99,1Sun SRL
100,
101,Sikandar (INC)
102,Proud goenkar and GSB I am an ordinary person who has been blessed with extraordinary opportunities and experiences.🚩🚩🕉️🙏@ChelseaFC  @DjokerNole  @RCBTweets
103,guys please follow of my Instagram a/c @sahin_maz05
104,"#2025millionaire😎😎😎
#Investor #cryptolover🤩🤩🤩
#ProudHindu #BJP #RSS
#Hinduism only
#CountryFirst 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
#एकच_स्वप्नं_हिंदवी_स्वराज्य"
105,berojgar
106,Bihari who made stock on hold.
107,
108,guys please follow of my Instagram a/c @sahin_maz05
109,"RTs, Likes ≠ Endorsements."
110,
111,silent
112,
113,"No bio,no one is curious to know me"
114,
115,Student
116,"Indian Blogger, Youtuber, Traveler, Parent, Story Teller, Numismatist, Social Activist, Dreamer"
117,ब्रह्म सत्यम जगत मिथ्या
118,
119,"Fashion Designer graduate from NIFT...
Officially_visual Merchandiser"
120,guys please follow of my Instagram a/c @sahin_maz05
121,Byline @TheLallantop
122,JAI HIND 🇮🇳🇮🇳🇮🇳
123,
124,View personal and Retweet not Endorsements.
125,This Moment We Own It💪I M
126,Soch rha hu
127,AIIMS
128,"Be Human ❤️
Nothing is above SELF RESPECT🇮🇳"
129,guys please follow of my Instagram a/c @sahin_maz05
130,"BCA Arcade Business College, consultant, loves poetry"
131,
132,Simple Man
133,
134,
135,
136,"Nation first
I support what is Right..."
137,Former Distt. President
138,
139,"मी मराठी | Marketing Campaign Specialist, B2B Marketing Expert at a leading Marketing Technology Company"
140,"कोमल और मानवीय रहना यह मेरा स्वाभाव है , पर याद रहे जब देश के रक्षा का सवाल हो , मैं सबसे घातक और शक्तिशाली हूँ।"
